organism	assembly	version	include_salmon	include_cellranger	include_star	include_infercnv
Homo_sapiens	GRCh38	104	TRUE	TRUE	TRUE	TRUE
Homo_sapiens	GRCh38	110	TRUE	TRUE	FALSE	TRUE
Mus_musculus	GRCm39	104	TRUE	TRUE	TRUE	TRUE
Homo_sapiens	GRCh38	98	TRUE	TRUE	FALSE	FALSE
Mus_musculus	GRCm39	110	TRUE	TRUE	FALSE	FALSE
Mus_musculus	GRCm38	98	TRUE	TRUE	FALSE	FALSE
