sample_diagnosis	diagnosis_group
Acute myeloid leukemia	Acute myeloid leukemia
Adrenocortical carcinoma	Adrenal cortex carcinoma
Anaplastic astrocytoma	Brain and CNS
Anaplastic ependymoma	Brain and CNS
Anaplastic ganglioglioma	Brain and CNS
Anaplastic glioma	Brain and CNS
Atypical teratoid rhabdoid tumor	Brain and CNS
B-cell acute lymphoblastic leukemia	B-cell leukemia
Clear cell sarcoma	Sarcoma
Clear cell sarcoma of the kidney	Sarcoma
Desmoplastic ganglioglioma	Brain and CNS
Desmoplastic small round cell tumor	Sarcoma
Diffuse midline glioma	Brain and CNS
Dysembryoplastic neuroepithelial tumor	Brain and CNS
Dysplastic gangliocytoma	Brain and CNS
Early T-cell precursor T-cell acute lymphoblastic leukemia	T-cell leukemia
Embryonal sarcoma	Sarcoma
Ependymoma	Brain and CNS
Epithelioid sarcoma	Sarcoma
Ewing sarcoma	Sarcoma
Focal cortical dysplasia	Brain and CNS
Ganglioglioma	Brain and CNS
Ganglioglioma/ATRT	Brain and CNS
Gastrointestinal stromal tumor	Gastrointestinal stromal tumor
Germ cell tumor	Germ cell tumor
Glial-neuronal tumor	Brain and CNS
Glioblastoma	Brain and CNS
Hepatoblastoma	Hepatoblastoma
High-grade glioma	Brain and CNS
High-grade sarcoma	Sarcoma
Infant-type hemispheric glioma	Brain and CNS
Infantile fibrosarcoma	Sarcoma
Low-grade glioma	Brain and CNS
Medulloblastoma	Brain and CNS
Melanoma	Melanoma
Mixed phenotype acute leukemia	Mixed phenotype acute leukemia
Myxopapillary ependymoma	Brain and CNS
Neuroblastoma	Neuroblastoma
Non-early T-cell precursor T-cell acute lymphoblastic leukemia	T-cell leukemia
Osteosarcoma	Sarcoma
Pilocytic astrocytoma	Brain and CNS
Pilomyxoid astrocytoma	Brain and CNS
Pleomorphic xanthoastrocytoma	Brain and CNS
Primitive neuroectodermal tumor	Brain and CNS
Retinoblastoma	Brain and CNS
Rhabdoid tumor	Rhabdoid tumor
Rhabdomyosarcoma	Sarcoma
Schwannoma	Brain and CNS
Spindle sarcoma	Sarcoma
Subependymoma	Brain and CNS
Synovial sarcoma	Sarcoma
T-cell acute lymphoblastic leukemia	T-cell leukemia
T-myeloid mixed phenotype acute leukemia	Mixed phenotype acute leukemia
Undifferentiated round cell sarcoma	Sarcoma
Wilms tumor	Wilms tumor
Non-cancerous	Non-cancerous
